activity_comment,n,pct
714797,3,0.01
1163403,3,0.01
852501,3,0.01
1163409,3,0.01
660191,3,0.01
1163415,3,0.01
1062285,3,0.01
1163421,3,0.01
660195,3,0.01
1163427,3,0.01
852507,3,0.01
1163433,3,0.01
660199,3,0.01
1106461,3,0.01
955333,3,0.01
1146018,3,0.01
660203,3,0.01
1146020,3,0.01
852513,3,0.01
1146022,3,0.01
714807,3,0.01
1146024,3,0.01
980685,3,0.01
1146026,3,0.01
714809,3,0.01
1146028,3,0.01
852519,3,0.01
1163385,3,0.01
714811,3,0.01
1062352,3,0.01
955335,3,0.01
1062354,3,0.01
714813,3,0.01
1062356,3,0.01
885967,3,0.01
1062358,3,0.01
714783,3,0.01
1062360,3,0.01
1062286,3,0.01
1095254,3,0.01
714785,3,0.01
1095256,3,0.01
885975,3,0.01
1106452,3,0.01
714787,3,0.01
1062336,3,0.01
955337,3,0.01
1062338,3,0.01
714789,3,0.01
1062340,3,0.01
885981,3,0.01
1062342,3,0.01
714823,3,0.01
1062344,3,0.01
1059695,3,0.01
1062346,3,0.01
714825,3,0.01
1062348,3,0.01
885987,3,0.01
1062350,3,0.01
714827,3,0.01
1062328,3,0.01
947920,3,0.01
1062330,3,0.01
714829,3,0.01
1062332,3,0.01
879206,3,0.01
1062334,3,0.01
714799,3,0.01
879209,3,0.01
830443,3,0.01
951729,3,0.01
1062287,3,0.01
714802,3,0.01
1062317,3,0.01
447417,3,0.01
714803,3,0.01
487356,3,0.01
1275127,3,0.01
487358,3,0.01
714805,3,0.01
487360,3,0.01
879205,3,0.01
487362,3,0.01
714839,3,0.01
1062320,3,0.01
1273875,3,0.01
1062322,3,0.01
714841,3,0.01
1062324,3,0.01
879208,3,0.01
1062326,3,0.01
714843,3,0.01
492329,3,0.01
951733,3,0.01
492331,3,0.01
714845,3,0.01
492333,3,0.01
886017,3,0.01
492335,3,0.01
714815,3,0.01
447419,3,0.01
1273879,3,0.01
447421,3,0.01
714817,3,0.01
487352,3,0.01
886023,3,0.01
487354,3,0.01
714819,3,0.01
492345,3,0.01
951736,3,0.01
502953,3,0.01
714821,3,0.01
502958,3,0.01
886029,3,0.01
502962,3,0.01
714855,3,0.01
487364,3,0.01
1062248,3,0.01
487366,3,0.01
714857,3,0.01
492325,3,0.01
886035,3,0.01
492327,3,0.01
714859,3,0.01
535304,3,0.01
955347,3,0.01
535306,3,0.01
714861,3,0.01
535308,3,0.01
885943,3,0.01
535310,3,0.01
714831,3,0.01
492337,3,0.01
830441,3,0.01
492339,3,0.01
714833,3,0.01
492341,3,0.01
