molregno,n_records,n_assays,n_docs,n_types,pref_name,inchikey
65351,17,16,10,4,SPARFLOXACIN,DZZWHBIBMUVIIW-DTORHVGOSA-N
10813,16,15,14,2,SERTINDOLE,GZKLJWGUPQBVJQ-UHFFFAOYSA-N
255477,16,16,14,4,QUINIDINE,LOUPRKONTZGTKE-LHHVKLHASA-N
3198327,15,2,2,3,,FWMURCSQJAVESQ-UHFFFAOYSA-N
2985420,15,1,1,3,,SAYBIVBDZZTHFR-UHFFFAOYSA-N
3039978,15,2,2,3,,KEMOASSFPWYYBE-UHFFFAOYSA-N
241,15,14,13,5,CIPROFLOXACIN,MYSWGUAQZAJSOK-UHFFFAOYSA-N
112651,15,15,13,4,BEPRIDIL,UIEATEWHFDRYRU-UHFFFAOYSA-N
5970,15,13,13,3,THIORIDAZINE,KLBQZWRITKRQQV-UHFFFAOYSA-N
81683,15,13,12,4,FEXOFENADINE,RWTNPBWLLIMQHL-UHFFFAOYSA-N
152728,15,15,15,4,HALOFANTRINE,FOHHNHSLJDZUGQ-UHFFFAOYSA-N
410802,14,12,10,3,SILDENAFIL,BNRNXUUZRGQAQC-UHFFFAOYSA-N
34197,14,11,11,3,OLANZAPINE,KVWDHTXUZHCGIO-UHFFFAOYSA-N
437583,13,11,8,6,MARAVIROC,GSNHKUDZZFZSJB-QUMGSSFMSA-N
2848526,13,4,4,3,,WXZYOKABAPSHMB-CUAXAMRHSA-N
6243,13,9,9,5,DESIPRAMINE,HCYAFALTSJYZDH-UHFFFAOYSA-N
2486625,13,2,2,3,CAMIZESTRANT,WDHOIABIERMLGY-CMJOXMDJSA-N
373981,13,13,12,3,BEDAQUILINE,QUIJNHUBAXPXFS-XLJNKUFUSA-N
17136,13,12,12,3,GREPAFLOXACIN,AIJTTZAVMXIJGM-UHFFFAOYSA-N
3023536,12,2,2,3,,VJZQQSPYGNVLNF-UHFFFAOYSA-N
3176054,12,2,2,3,,WZGXFUTUWYUZBK-UHFFFAOYSA-N
3133185,12,1,1,3,,RJVPOCVCIFLEDC-NFXMZALSSA-N
3023533,12,3,3,3,,HDRIOVZPSXLMEK-PUAOIOHZSA-N
3262732,12,2,2,3,,QOLLQIBBKMYYHN-UHFFFAOYSA-N
3105700,12,3,3,3,,WESFGBVFCGHYNE-UHFFFAOYSA-N
3093089,12,2,2,3,,SOXWGEFOMMQSBW-UHFFFAOYSA-N
3026490,12,2,2,3,,PBEWANFAIGVJRA-UHFFFAOYSA-N
3243223,12,2,2,3,,LILWOSWCHKKJRS-UHFFFAOYSA-N
3100092,12,2,2,3,,PQZGPKXZUSHGLE-JDSODNTQSA-N
3152056,12,1,1,3,,KLPCJLSYOHVFQS-CQSZACIVSA-N
3021022,12,2,2,3,,QYNNKWUEYHNEOA-UHFFFAOYSA-N
3159935,12,2,2,3,,QVUDEDBAGYAVHI-WNKCNSGYSA-N
921,11,10,6,4,PHENYTOIN,CXOFVDLJLONNDW-UHFFFAOYSA-N
1444554,11,11,4,3,,NTIFDLOQPKMIJK-AJTFRIOCSA-N
1819673,11,5,5,3,,ATMAGFPFVYJWHA-HDJSIYSDSA-N
440300,11,11,2,2,,RGZNEXHZUKHBNS-UHFFFAOYSA-N
152751,11,10,10,3,DROPERIDOL,RMEDXOLNCUSCGS-UHFFFAOYSA-N
440426,11,11,2,2,,FVIRTVGXWNRAMY-UHFFFAOYSA-N
440091,11,11,2,2,,GDZWYFZOGVMUEB-UHFFFAOYSA-N
440462,11,11,2,2,,CSMSBZWRUZAKQB-UHFFFAOYSA-N
1819679,11,5,5,3,,DFHQXRLKAFZKPB-SHTZXODSSA-N
33664,11,10,10,3,ZIPRASIDONE,MVWVFYHBGMAFLY-UHFFFAOYSA-N
1820121,11,5,5,3,,QWEBKNRGVXJIKS-JCNLHEQBSA-N
1819681,11,5,5,3,,FSQNGXYJUMATLF-JCNLHEQBSA-N
6216,11,10,10,3,CHLORPROMAZINE,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
1712,11,10,10,3,GATIFLOXACIN,XUBOMFCQGDBHNK-UHFFFAOYSA-N
12506,11,9,6,4,ERYTHROMYCIN,ULGZDMOVFRHVEP-RWJQBGPGSA-N
440048,11,11,2,2,,UEDWHHXUOBFTMS-UHFFFAOYSA-N
1782495,10,10,10,1,GEPOTIDACIN,PZFAZQUREQIODZ-LJQANCHMSA-N
574009,10,10,1,2,,BWHTVWPCTVOLNL-UHFFFAOYSA-N
574019,10,10,1,2,,JQIOFPJNEBMYKB-UHFFFAOYSA-N
1278,10,9,9,3,DILTIAZEM,HSUGRBWQSSZJOP-RTWAWAEBSA-N
574051,10,10,1,2,,CSPRWLXCNMAWKC-UHFFFAOYSA-N
574038,10,10,1,2,,CVDJZICOCOGFGC-UHFFFAOYSA-N
155006,10,10,10,3,ARIPIPRAZOLE,CEUORZQYGODEFX-UHFFFAOYSA-N
2223,10,9,9,3,FLUOXETINE,RTHCYVBBDHJXIQ-UHFFFAOYSA-N
255904,10,8,8,4,KETOCONAZOLE,XMAYWYJOQHXEEK-UHFFFAOYSA-N
2872866,10,4,4,3,,AQBZHJBCKSTPQK-WXTAPIANSA-N
2870734,10,4,4,3,,IBQHPNIHSLVBKS-PAPQREIWSA-N
2872831,10,4,4,3,,KNSMOAXIFSMQRE-KMVLGAPJSA-N
2868007,10,4,4,3,,BPPHZYQGDXOLKS-VOIUYBSRSA-N
2866328,10,4,4,3,,JMHAEPDWKOSCPH-RJYGXOMWSA-N
2839575,10,4,4,3,,HLEVNGBZPKFBLQ-WGDIFIGCSA-N
2840805,10,4,4,3,,AJSOGGXGYQZCBL-WGDIFIGCSA-N
2861959,10,4,4,3,,MULLTNVDYCQIAT-PUAOIOHZSA-N
2860618,10,4,4,3,,WXZYOKABAPSHMB-UYPAYLBCSA-N
2864676,10,4,4,3,,KSZIELZVRSLDCC-VOIUYBSRSA-N
110803,10,9,9,4,LORATADINE,JCCNYMKQOSZNPW-UHFFFAOYSA-N
364745,10,9,9,4,DOMPERIDONE,FGXWKSZFVQUSTL-UHFFFAOYSA-N
2838958,10,4,4,3,,SLTNEYDLIVCLGL-VOIUYBSRSA-N
2863828,10,4,4,3,,GRTREOMLNXYRCK-CRICUBBOSA-N
20027,10,9,3,4,ROSIGLITAZONE,YASAKCUCGLMORW-UHFFFAOYSA-N
296388,10,10,10,1,RILPIVIRINE,YIBOMRUWOWDFLG-ONEGZZNKSA-N
6579,10,10,10,4,CHLOROQUINE,WHTVZRBIWZFKQO-UHFFFAOYSA-N
2853479,10,4,4,3,,MLFYCSZCDRJXFS-PUAOIOHZSA-N
2834191,10,4,4,3,,IYDSJLZRONWCJO-VOIUYBSRSA-N
2847852,10,4,4,3,,HUUWWYUNNNZAAI-IQGLISFBSA-N
2844978,10,4,4,3,,KNSMOAXIFSMQRE-HQWTYURQSA-N
2864894,10,4,4,3,,VDHHNYKYQYVKKQ-CRICUBBOSA-N
2864902,10,4,4,3,,GDFODPGZJWMOLV-IQGLISFBSA-N
2148212,10,4,4,3,,BZNALBIJBHYZPW-JCNLHEQBSA-N
2126948,10,4,4,3,,NMIBDYYYDQCKBY-WKILWMFISA-N
2121506,10,4,4,3,,SZDYHSAHSPZDEB-RHDGDCLCSA-N
332503,10,4,4,3,,OEIWNDGDGDPXIO-UHFFFAOYSA-N
51162,10,6,6,3,MEFLOQUINE,XEEQGYMUWCZPDN-UHFFFAOYSA-N
2118011,10,4,4,3,,JABDFUFLQGAQCU-UHFFFAOYSA-N
2104424,10,4,4,3,,YVGAENJCKBRBJB-QUWSVYMGSA-N
2173778,10,4,4,3,,OKAUIWRBORRFHW-SHTZXODSSA-N
574068,10,10,1,2,,RWGFKKGYHOTXRZ-UHFFFAOYSA-N
574067,10,10,1,2,,GLKFHODDQQHCAX-UHFFFAOYSA-N
574061,10,10,1,2,,QYNQDAFXODBCAX-UHFFFAOYSA-N
574054,10,10,1,2,,XHYHAGAWIQDXFU-UHFFFAOYSA-N
152819,10,10,9,3,MIZOLASTINE,PVLJETXTTWAYEW-UHFFFAOYSA-N
2188515,10,4,4,3,,OIWKVZIBVNRNOJ-SHTZXODSSA-N
2184679,10,4,4,3,NUVISERTIB,XRNVABDYQLHODA-JCNLHEQBSA-N
2174575,10,4,4,3,,LOMZUAFMSBAHAU-HDJSIYSDSA-N
573997,10,10,1,2,,DHSWMQRDIKTONS-UHFFFAOYSA-N
573950,10,10,1,2,,FURLYCMNDIFIIK-UHFFFAOYSA-N
574069,10,10,1,2,,WIGFMKMFRGRSDE-UHFFFAOYSA-N
573998,10,10,1,2,,ZQYTURKIACTXPU-UHFFFAOYSA-N
574008,10,10,1,2,,KXLSNWXEEUBBQQ-UHFFFAOYSA-N
574007,10,10,1,2,,NQHYTSQZQHHSNR-UHFFFAOYSA-N
574000,10,10,1,2,,AQTZHUHBIRXOHR-UHFFFAOYSA-N
572871,10,10,1,2,,GMCICJZIANWTML-UHFFFAOYSA-N
3192960,9,3,3,3,,YMDZFDBXTYBHAJ-UHFFFAOYSA-N
3192526,9,3,3,3,,NKDVESFPKPIDIQ-WGDIFIGCSA-N
3191707,9,3,3,3,,ZCTQCBWQMVTHFN-AKJBCIBTSA-N
572891,9,9,1,2,,DDUAZQDCAKMWPF-UHFFFAOYSA-N
574006,9,9,1,2,,NEHPVKVKVDQPOY-UHFFFAOYSA-N
573999,9,9,1,2,,XYXAYUQJAMPEPZ-UHFFFAOYSA-N
3197950,9,2,2,3,,LMZPNUTXBLCHOF-UHFFFAOYSA-N
3195857,9,3,3,3,,QXCZSLXPACAQFH-UHFFFAOYSA-N
3195539,9,3,3,3,,IURRISDHEMQJRJ-OYLFLEFRSA-N
3195221,9,3,3,3,,BTJWAAQFFCCLEV-DDWQGHIRSA-N
3193432,9,3,3,3,,NFEWVXJAYCJUDR-UHFFFAOYSA-N
3238271,9,3,3,3,,ZYVTYEUBKQMHOG-IVZQSRNASA-N
3237464,9,3,3,3,,PQODUJCHPMUWBZ-UHFFFAOYSA-N
3088238,9,3,3,3,,QFUPEQWFGZHTBD-PUAOIOHZSA-N
3086829,9,3,3,3,,XFPUCOKJWIFNBD-UHFFFAOYSA-N
3085411,9,2,2,3,,BHASKRVNSLNZGW-UHFFFAOYSA-N
3083598,9,1,1,3,,RXGDDWPITVSKDR-UHFFFAOYSA-N
3078409,9,3,3,3,,BZZLWUMRMDWPKU-CRICUBBOSA-N
3078249,9,3,3,3,,NQYHOQBBFBAIMK-UHFFFAOYSA-N
3077864,9,3,3,3,,OSUZOKVUVSOJSC-UHFFFAOYSA-N
3239360,9,3,3,3,,WHTFAERDNGSMFX-AWCXEYNZSA-N
2249255,9,2,2,3,,QZQLOJFUTYSQRK-CQSZACIVSA-N
3074386,9,3,3,3,,SHBYLUMKVZHSKT-PAPQREIWSA-N
3072182,9,3,3,3,,AMFAUXJCRFTZMC-SGANQWHYSA-N
3242726,9,3,3,3,,WFXULSHSKBXRPA-UHFFFAOYSA-N
3068055,9,3,3,3,,VSCPITUJYKTOSN-SAZUREKKSA-N
3067427,9,3,3,3,,LPYNBSIKESUTGC-WAIKUNEKSA-N
3067264,9,3,3,3,,KQRBWHHEPRVKIK-UHFFFAOYSA-N
3066596,9,3,3,3,,SXZDGPTXQLHTHB-VOIUYBSRSA-N
3065045,9,1,1,3,,KLPCJLSYOHVFQS-AWEZNQCLSA-N
3064864,9,3,3,3,,QCSDQBSFPQLPON-UHFFFAOYSA-N
3063747,9,3,3,3,,CJXIOPIGXQHWQR-VXLXPWSCSA-N
3063321,9,3,3,3,,PXQSCMURJHEJSY-UHFFFAOYSA-N
3103476,9,3,3,3,,PZYPIKZGEWFIHB-WAIKUNEKSA-N
3233879,9,3,3,3,,DEIMBTFUPFKEMQ-UHFFFAOYSA-N
3094840,9,3,3,3,,PYIMERJICKNALY-UHFFFAOYSA-N
3091470,9,3,3,3,,OBXCEMCJDFYPCO-SGANQWHYSA-N
3091133,9,3,3,3,,SMUDZEUPOGINMX-FICWAZMISA-N
3091011,9,3,3,3,,ORXOIENTRQRMKN-CRICUBBOSA-N
3089617,9,3,3,3,,JFFLQACNEMRJEZ-UHFFFAOYSA-N
3062528,9,3,3,3,,BVXHNEYXSTUIFZ-PAPQREIWSA-N
3059190,9,1,1,3,,WDLBYQOAVJSWSI-UHFFFAOYSA-N
3058670,9,3,3,3,,CSLAFKNTMSZKMA-UHFFFAOYSA-N
3057857,9,3,3,3,,IZJXCFFIOVTYLI-UHFFFAOYSA-N
3056499,9,3,3,3,,BRWPTTNZERDDAD-SGANQWHYSA-N
3054181,9,3,3,3,,XRHYTDKIDXNPOV-GYCJOSAFSA-N
3051107,9,3,3,3,,BPNUJHRNCIAXDS-SGANQWHYSA-N
3050389,9,3,3,3,,BZKHLYNNXBBFQJ-UHFFFAOYSA-N
3049262,9,3,3,3,,IRQIJKRXGXGNRK-JBEBIEQOSA-N
3246216,9,3,3,3,,VMYXNYIVDBBERD-UHFFFAOYSA-N
2053826,9,9,2,5,,QNWXOXKHLFTJBA-UHFFFAOYSA-N
3112250,9,1,1,3,,LLRZZUHLSAACCU-UHFFFAOYSA-N
3233293,9,3,3,3,,AOJLIMRFXUYBMG-UHFFFAOYSA-N
3233139,9,3,3,3,,QOTIEMUIZUBYME-UHFFFAOYSA-N
